3185,5,7,9,24,16,5,16,221,30,111
2892,10,9,6,20,16,5,13,221,20,111
1971,7,4,3,20,14,6,3,239,80,111
2181,8,6,5,20,14,7,7,239,20,111
2087,9,6,5,20,14,7,6,239,20,111
2154,10,5,10,20,16,5,5,239,20,111
2075,12,5,3,20,16,5,4,239,20,111
2377,6,5,9,20,16,5,7,239,20,111
2219,12,5,4,20,16,5,5,239,20,111
2338,11,5,9,20,16,4,7,239,20,111
2288,10,5,6,20,16,4,6,239,20,111
2776,10,10,3,20,16,5,13,239,20,111
2134,8,9,10,20,16,5,6,239,20,111
2163,9,7,4,20,16,4,8,239,20,111
2911,9,2,8,24,18,14,1,221,20,111
2633,12,2,5,24,16,5,9,239,20,111
3141,8,7,11,24,18,6,13,221,20,111
3032,7,6,9,24,18,7,14,221,20,111
3281,13,3,3,24,18,6,14,221,20,111
3306,10,3,2,24,18,6,14,221,30,111
3000,6,5,6,24,18,4,13,221,20,111
2949,7,5,4,24,18,3,13,221,20,111
3052,13,4,8,26,20,3,13,221,20,111
2991,10,3,3,26,20,1,13,221,20,111
2967,9,3,4,26,20,1,13,221,20,111
2721,3,8,3,24,16,12,5,221,20,111
3269,8,3,11,24,16,10,14,221,30,111
2750,12,9,3,24,18,13,8,221,20,111
2885,9,7,3,24,18,13,8,221,20,111
2904,13,4,11,24,16,7,10,239,20,111
2658,13,4,10,24,16,8,8,239,20,111
2404,12,4,3,24,16,9,6,239,20,111
2611,7,4,3,24,20,12,12,239,20,111
2726,9,2,9,24,20,12,14,239,20,111
2807,9,4,8,26,20,8,10,221,20,111
2970,9,4,8,26,20,6,13,221,20,111
2868,10,4,8,26,20,6,12,221,20,111
2774,12,3,2,26,20,4,14,162,20,111
2494,8,5,3,26,20,5,3,221,20,111
3050,10,5,9,26,20,5,13,221,20,111
2848,10,4,9,24,20,4,10,221,20,111
2970,9,4,8,24,20,5,10,221,20,111
2731,10,4,9,24,18,4,7,221,20,111
2935,12,4,3,24,18,5,9,221,20,111
2841,10,4,6,24,18,5,8,221,20,111
2708,7,4,3,24,18,5,4,221,20,111
2499,5,5,4,24,18,5,1,221,20,111
2649,10,8,3,24,18,4,10,221,20,111
2505,7,9,2,24,18,5,3,221,20,111
2667,15,8,2,24,18,5,5,221,20,111
2985,9,7,10,24,18,5,9,221,20,111
2608,8,9,5,24,18,5,5,221,20,111
2894,10,8,11,24,18,6,9,221,20,111
2910,9,9,5,24,18,6,9,221,20,111
2783,9,8,2,24,18,6,8,221,20,111
2765,9,8,6,24,18,6,8,221,20,111
2736,6,6,10,24,18,1,9,221,20,111
2675,10,4,4,24,18,4,4,221,20,111
2631,9,4,3,24,18,4,2,221,20,111
2817,8,3,4,24,18,6,8,221,20,111
2695,7,3,5,24,18,6,6,221,20,111
2767,10,10,10,24,18,8,7,221,20,111
2879,9,8,4,24,18,8,10,221,20,111
2465,9,7,8,26,20,8,8,174,20,111
2484,8,9,4,24,20,9,7,174,20,111
2651,10,9,2,24,18,9,10,174,20,111
2747,9,9,10,24,18,9,11,174,20,111
2306,12,3,4,24,20,14,1,221,20,111
2410,7,7,9,24,20,14,7,221,20,111
2460,11,9,6,24,16,10,9,239,20,111
2328,8,9,4,24,16,7,9,239,20,111
2164,7,9,6,20,16,5,6,239,20,111
3051,9,6,10,24,20,10,14,239,20,111
2776,14,9,2,20,16,6,11,239,20,111
2584,7,5,10,24,18,13,17,239,20,111
3595,8,3,2,26,20,7,19,162,30,111
3198,9,4,4,24,18,10,19,239,20,111
2372,9,2,6,20,14,2,5,239,20,111
2532,8,2,9,20,14,1,6,221,20,111
